0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
-0.22396344,-1.035345,-1.8716978,-0.62314636,-0.3846474,-0.66672647,-0.676622,-0.9740352,-1.0860544,-0.8738697,-1.0281487,-0.24168177,-1.8046541,-0.76732683,-0.44087005,-0.6545207,-1.5495262,-1.1605064,-1.5364205,-0.6332797,-1.4704638,-1.7413766,-1.9447016,-1.166148
-0.22396344,-1.035345,-1.8716978,-0.62314636,-0.3846474,-0.66672647,-0.676622,-0.9740352,-1.0860544,-0.8738697,-1.0281487,-0.24168177,-1.8046541,-0.76732683,-0.44087005,-0.6545207,-1.5495262,-1.1605064,-1.5364205,-0.6332797,-1.4704638,-1.7413766,-1.9447016,-1.166148
-0.21504596,-1.0328203,-1.8798187,-0.6344153,-0.3731584,-0.6771432,-0.67216957,-0.96515733,-1.0777657,-0.8729465,-1.0518804,-0.24178313,-1.817117,-0.7659572,-0.45016217,-0.64713603,-1.5665522,-1.1727245,-1.5293479,-0.6369207,-1.4764708,-1.7566081,-1.9545544,-1.161552
-0.2290724,-1.0707899,-1.9345354,-0.6514363,-0.3976108,-0.6971717,-0.7052617,-1.0000172,-1.1172229,-0.8968655,-1.0696685,-0.25295818,-1.8617887,-0.7882676,-0.4611,-0.67918855,-1.6040736,-1.2105081,-1.587419,-0.65010726,-1.5246074,-1.79916,-2.010405,-1.2018687
-0.22221594,-1.021548,-1.847216,-0.6141304,-0.37869352,-0.6549644,-0.66645825,-0.9633638,-1.0767099,-0.8614026,-1.0119288,-0.23633225,-1.7815707,-0.75742507,-0.43047172,-0.64409494,-1.5291212,-1.1420708,-1.5148234,-0.6245423,-1.4470043,-1.7164418,-1.9182351,-1.152943
-0.22264433,-1.0262811,-1.8507426,-0.6082279,-0.3830851,-0.6511374,-0.6691677,-0.96803284,-1.0787331,-0.8625563,-1.0036352,-0.23495016,-1.7824975,-0.756601,-0.4258004,-0.6457434,-1.5280188,-1.1412431,-1.5252631,-0.6185664,-1.4499229,-1.7171385,-1.9205484,-1.1594757
-0.2135515,-1.0466555,-1.9047642,-0.6545595,-0.3728602,-0.6976515,-0.67953867,-0.9618151,-1.086612,-0.8793112,-1.0896043,-0.2497915,-1.8414131,-0.76975244,-0.4714168,-0.6585141,-1.5966359,-1.205494,-1.5419298,-0.64986175,-1.5060824,-1.785918,-1.9852798,-1.1641436
-0.22643007,-1.096885,-1.9886566,-0.67995256,-0.40037265,-0.7298067,-0.72666806,-1.0120039,-1.1354766,-0.91610706,-1.122289,-0.26282945,-1.9148421,-0.80200773,-0.48626304,-0.6951058,-1.6593109,-1.2582906,-1.6242073,-0.6661164,-1.5746332,-1.8563573,-2.0695925,-1.222539
-0.22349887,-1.0490711,-1.8856868,-0.6295764,-0.3885013,-0.6698755,-0.68739206,-0.9741231,-1.0964893,-0.8667746,-1.0363014,-0.24303845,-1.8112788,-0.75939965,-0.44381624,-0.66415703,-1.5618124,-1.1816313,-1.5542346,-0.62372965,-1.4885278,-1.7476584,-1.9594259,-1.1736609
-0.24714306,-1.1552833,-2.083515,-0.7285968,-0.42711237,-0.77955216,-0.7603869,-1.055892,-1.2006959,-0.96573997,-1.1974525,-0.28943908,-2.00531,-0.84946424,-0.5306654,-0.7470704,-1.7423425,-1.3342434,-1.6942226,-0.72015375,-1.658677,-1.9501549,-2.1743586,-1.275709
