Time_Step,Stock_0,Stock_1,Stock_2,Stock_3,Stock_4,Stock_5,Stock_6,Stock_7,Stock_8,Stock_9,Stock_10,Stock_11,Stock_12,Stock_13,Stock_14,Stock_15,Stock_16,Stock_17,Stock_18,Stock_19
0,0.058516316,0.041986186,0.053322,0.027766494,0.060447056,0.037118763,0.046587948,0.045419436,0.068915695,0.05370665,0.05533484,0.036969088,0.042022135,0.053394463,0.0479532,0.06499294,0.05251752,0.048935987,0.056360655,0.047732696
1,0.057404872,0.042813454,0.05156792,0.028417418,0.06292893,0.037916888,0.045964915,0.04480771,0.06774092,0.053166676,0.05630007,0.036798026,0.041540038,0.054348614,0.046529025,0.06817914,0.051024772,0.04735748,0.058530103,0.046663005
2,0.057992913,0.043690927,0.051460557,0.030313954,0.06557341,0.036581654,0.042959534,0.042908818,0.066182755,0.055334274,0.05328486,0.03620365,0.04084809,0.053133916,0.04797166,0.06883018,0.054331586,0.04705639,0.061647777,0.043693144
3,0.058342315,0.043614443,0.0511062,0.02990527,0.06555606,0.03693603,0.043702368,0.043060776,0.06619504,0.055042345,0.053785916,0.036213636,0.04118582,0.053318765,0.047371056,0.06853508,0.053756308,0.0471867,0.061058078,0.044127814
4,0.057220954,0.044134527,0.05158882,0.029410245,0.06627365,0.037443347,0.043735553,0.04378004,0.067115545,0.053672902,0.05519426,0.035948813,0.040218566,0.053124547,0.046952046,0.06848786,0.052970883,0.04706783,0.060600802,0.04505882
5,0.057356372,0.044108104,0.051375005,0.029250678,0.066175915,0.037533272,0.044029035,0.04380354,0.06713481,0.05349436,0.05547551,0.036032096,0.04029726,0.053205725,0.046682414,0.068406984,0.052773856,0.04706511,0.06055034,0.0452497
6,0.056639683,0.04395302,0.052692767,0.028860759,0.06383946,0.037973825,0.04486542,0.04452683,0.06670371,0.053147897,0.05644639,0.035849165,0.04000176,0.053985123,0.047445394,0.06765715,0.05205454,0.048097003,0.059038036,0.04622208
7,0.056469433,0.044327877,0.051267844,0.029147485,0.065575294,0.03864081,0.044998012,0.04461115,0.06663466,0.05316812,0.056349587,0.035631392,0.04044209,0.053944957,0.046700493,0.068155326,0.05182156,0.047417402,0.05902866,0.045667846
8,0.056529623,0.044156075,0.05148308,0.028762806,0.06461874,0.038714964,0.04563279,0.04477398,0.06665928,0.052937888,0.056743376,0.035831466,0.04054359,0.054247454,0.046794835,0.06793899,0.05146263,0.047730703,0.058242727,0.04619505
9,0.05670429,0.044124484,0.05083833,0.028718857,0.06464951,0.038644485,0.0460095,0.044730373,0.06669979,0.053015005,0.056745693,0.036069654,0.040941168,0.054355744,0.046382144,0.06811341,0.051229514,0.0476119,0.058365766,0.046050243
10,0.056429904,0.044702847,0.051479265,0.02880863,0.06550322,0.039063152,0.045104735,0.04442233,0.066203475,0.052221317,0.057438504,0.035573676,0.039720543,0.054206904,0.04652143,0.06768062,0.052151356,0.047732413,0.058668554,0.04636723
11,0.056714427,0.044719554,0.051370524,0.02869066,0.06571455,0.039208774,0.045173027,0.04430449,0.06612978,0.052029714,0.057599127,0.035543237,0.039718404,0.054170206,0.04630084,0.067427404,0.05232722,0.047774587,0.05853517,0.04654824
12,0.057731554,0.043233268,0.05032837,0.028939713,0.06380796,0.03776414,0.045444947,0.043822274,0.06599458,0.05360374,0.055924892,0.037084933,0.042364765,0.05464886,0.045492873,0.06898358,0.05245889,0.046365626,0.06085291,0.04515204
13,0.057919227,0.043037735,0.050663106,0.02950169,0.063543156,0.037233315,0.044723008,0.043505266,0.06561981,0.054595158,0.05481458,0.036971092,0.0426078,0.054401577,0.046135496,0.06922498,0.053133186,0.046429284,0.06154974,0.04439078
14,0.05774271,0.04240234,0.050031487,0.028408118,0.06164559,0.03754552,0.04681868,0.04420957,0.06634869,0.053420838,0.056840435,0.037735354,0.043202173,0.055397727,0.044888873,0.07044678,0.04994827,0.046455055,0.060476605,0.04603513
15,0.057645794,0.04259692,0.05017715,0.028534012,0.061922163,0.037599266,0.046761483,0.04429717,0.066261016,0.053773135,0.05650254,0.03743821,0.043132283,0.05524497,0.04518413,0.06999727,0.0501826,0.046700686,0.060324,0.0457252
16,0.058225002,0.042492766,0.049364425,0.028255856,0.061389085,0.037393205,0.047264706,0.04388519,0.06614205,0.053286612,0.05717349,0.037999637,0.04346377,0.055358548,0.044369493,0.070458144,0.050059512,0.046559542,0.060719762,0.046139162
17,0.05790163,0.04241734,0.049539268,0.02812752,0.060692873,0.037294585,0.047552243,0.04404374,0.06627808,0.053043637,0.0575484,0.03825151,0.04322665,0.055701412,0.044565476,0.07068496,0.04946558,0.046716668,0.060502145,0.04644626
18,0.057563737,0.04136956,0.05027283,0.02793779,0.059345644,0.03691407,0.0476148,0.044483542,0.066877484,0.0531328,0.05751916,0.038730625,0.04370609,0.05628212,0.04454006,0.07195189,0.047943294,0.04627757,0.060727403,0.046809554
19,0.058780003,0.041379247,0.049829196,0.028140772,0.05951371,0.03646852,0.0477363,0.043934207,0.06615527,0.054116637,0.056641094,0.038571756,0.04447298,0.055859365,0.044375848,0.0712245,0.048563447,0.04688352,0.061206542,0.046147052
20,0.059495628,0.041678756,0.04925385,0.028612131,0.060278878,0.036323413,0.047174383,0.043269083,0.06552429,0.054583654,0.056035206,0.03838498,0.04446962,0.055453666,0.044433855,0.07097398,0.049595665,0.046997476,0.06194949,0.045512054
21,0.06079436,0.04176382,0.04913343,0.029188847,0.060595393,0.035768356,0.046565603,0.042308953,0.06451188,0.055778097,0.05470289,0.038126394,0.04454857,0.055048868,0.045057368,0.07037137,0.050834738,0.04774098,0.06252596,0.044634067
22,0.060687218,0.04216692,0.047387104,0.031410795,0.06397992,0.035562683,0.044333782,0.04094619,0.0630571,0.056280147,0.052705858,0.038025923,0.042931713,0.054292362,0.045835674,0.07084844,0.054128103,0.046967953,0.06588639,0.042565703
